review_id,booking_id,customer_id,flight_id,review_date,rating,review_text,language,topics
RVW000001,BKG000002,CUST0277,FLT00001,2025-01-10,3,My luggage was damaged on arrival.,en,baggage
RVW000002,BKG000007,CUST0119,FLT00001,2025-01-12,2,Customer service was indifferent. One bag arrived on a later flight — frustrating. Significant delay with poor communication.,en,staff_service;baggage;punctuality
RVW000003,BKG000008,CUST0086,FLT00001,2025-01-13,3,The delay was very disruptive to my schedule. Cabin needed a deeper clean before boarding.,en,punctuality;cleanliness
RVW000004,BKG000011,CUST0289,FLT00001,2025-01-13,4,"Smooth and punctual flight, no fuss.",en,punctuality
RVW000005,BKG000012,CUST0098,FLT00001,2025-01-07,2,Felt overpriced for what was offered. Significant delay with poor communication.,en,value_for_money;punctuality
RVW000006,BKG000018,CUST0219,FLT00001,2025-01-10,2,Boarding announced late and we sat on the apron for ages.,en,punctuality
RVW000007,BKG000023,CUST0046,FLT00001,2025-01-09,4,Boarding was orderly and quick. Departed and arrived on time.,en,boarding;punctuality
RVW000008,BKG000027,CUST0002,FLT00002,2025-01-15,4,"Staff went out of their way to help. Smooth and punctual flight, no fuss.",en,staff_service;punctuality
RVW000009,BKG000039,CUST0110,FLT00002,2025-01-10,3,Reasonable fare for the route. Boarding was very slow and disorganized. Lavatories were dirty by mid-flight.,en,value_for_money;boarding;cleanliness
RVW000010,BKG000040,CUST0222,FLT00002,2025-01-13,4,"Smooth and punctual flight, no fuss. Staff went out of their way to help. Good value for the price paid.",en,punctuality;staff_service;value_for_money
RVW000011,BKG000042,CUST0056,FLT00002,2025-01-13,3,Cabin needed a deeper clean before boarding. One bag arrived on a later flight — frustrating.,en,cleanliness;baggage
RVW000012,BKG000046,CUST0131,FLT00002,2025-01-03,4,Lavatories were kept tidy throughout the flight. Reasonable fare for the route. Attentive service from boarding to landing.,en,cleanliness;value_for_money;staff_service
RVW000013,BKG000054,CUST0179,FLT00003,2025-01-11,4,"Reasonable fare for the route. Smooth and punctual flight, no fuss. Boarding was orderly and quick.",en,value_for_money;punctuality;boarding
RVW000014,BKG000055,CUST0108,FLT00003,2025-01-07,2,One bag arrived on a later flight — frustrating. Significant delay with poor communication.,en,baggage;punctuality
