disruption_id,flight_id,root_cause,sub_cause,description,recovery_action
DSR00001,FLT00001,Technical,Minor maintenance finding,Tire change,Extended turnaround
DSR00002,FLT00004,Ground_Handling,Fuel truck delay,Fuel truck delay,Extended boarding
DSR00003,FLT00011,Weather,Crosswind exceeding limits,Thunderstorm at origin,Diverted briefly
DSR00004,FLT00014,Technical,APU replacement,APU replacement,Engineering hold
DSR00005,FLT00020,Ground_Handling,Catering uplift late,Fuel truck delay,Push delay accepted
DSR00006,FLT00021,Ground_Handling,Pushback tug breakdown,Catering uplift late,Push delay accepted
DSR00007,FLT00022,Ground_Handling,Pushback tug breakdown,Late baggage loading,Extended boarding
DSR00008,FLT00027,Technical,APU replacement,Minor maintenance finding,Extended turnaround
DSR00009,FLT00035,Technical,Aircraft change required,APU replacement,Aircraft swap
DSR00010,FLT00038,Ground_Handling,Pushback tug breakdown,Pushback tug breakdown,Extended boarding
DSR00011,FLT00041,Crew,Pilot illness,Crew positioning delay,Schedule re-plan
DSR00012,FLT00045,Technical,APU replacement,Tire change,Aircraft swap
DSR00013,FLT00049,Weather,Thunderstorm at origin,Thunderstorm at origin,Diverted briefly
DSR00014,FLT00050,ATC,Slot delay at CDG,Lagos approach congestion,Held on stand
DSR00015,FLT00052,Weather,Heavy rain at destination,Heavy rain at destination,Diverted briefly
DSR00016,FLT00053,Technical,Minor maintenance finding,Minor maintenance finding,Aircraft swap
DSR00017,FLT00054,Ground_Handling,Pushback tug breakdown,Fuel truck delay,Extended boarding
DSR00018,FLT00059,Weather,Harmattan dust reducing visibility,Heavy rain at destination,Held on stand
DSR00019,FLT00061,Crew,Cabin crew duty time exceeded,Cabin crew duty time exceeded,Schedule re-plan
DSR00020,FLT00063,Weather,Heavy rain at destination,Harmattan dust reducing visibility,Diverted briefly
DSR00021,FLT00065,Crew,Cabin crew duty time exceeded,Cabin crew duty time exceeded,Schedule re-plan
DSR00022,FLT00067,Technical,Minor maintenance finding,Tire change,Aircraft swap
DSR00023,FLT00068,Ground_Handling,Fuel truck delay,Late baggage loading,Extended boarding
DSR00024,FLT00072,Technical,Aircraft change required,Aircraft change required,Extended turnaround
DSR00025,FLT00073,Weather,Crosswind exceeding limits,Harmattan dust reducing visibility,Diverted briefly
DSR00026,FLT00074,Weather,Harmattan dust reducing visibility,Crosswind exceeding limits,Reschedule to next slot
DSR00027,FLT00085,Technical,Aircraft change required,Aircraft change required,Extended turnaround
DSR00028,FLT00093,Crew,Cabin crew duty time exceeded,Cabin crew duty time exceeded,Reserve crew called
DSR00029,FLT00100,Weather,Crosswind exceeding limits,Harmattan dust reducing visibility,Diverted briefly
DSR00030,FLT00101,Crew,Crew positioning delay,Crew positioning delay,Reserve crew called
DSR00031,FLT00103,Weather,Heavy rain at destination,Crosswind exceeding limits,Diverted briefly
DSR00032,FLT00112,Crew,Cabin crew duty time exceeded,Pilot illness,Reserve crew called
DSR00033,FLT00113,Weather,Crosswind exceeding limits,Crosswind exceeding limits,Reschedule to next slot
DSR00034,FLT00116,Technical,Minor maintenance finding,Tire change,Engineering hold
DSR00035,FLT00117,Weather,Thunderstorm at origin,Crosswind exceeding limits,Reschedule to next slot
DSR00036,FLT00118,Technical,Tire change,Tire change,Aircraft swap
DSR00037,FLT00119,ATC,Slot delay at CDG,Slot delay at CDG,Reduced taxi speed
DSR00038,FLT00120,Weather,Thunderstorm at origin,Crosswind exceeding limits,Reschedule to next slot
DSR00039,FLT00129,Weather,Thunderstorm at origin,Heavy rain at destination,Diverted briefly
DSR00040,FLT00138,Ground_Handling,Fuel truck delay,Fuel truck delay,Extended boarding
DSR00041,FLT00142,Other,Schedule recovery,Schedule recovery,Accepted minor delay
DSR00042,FLT00146,Technical,Aircraft change required,Tire change,Engineering hold
DSR00043,FLT00148,Weather,Crosswind exceeding limits,Heavy rain at destination,Reschedule to next slot
DSR00044,FLT00152,Weather,Harmattan dust reducing visibility,Harmattan dust reducing visibility,Reschedule to next slot
DSR00045,FLT00155,Other,Operational disruption,Operational disruption,Accepted minor delay
DSR00046,FLT00156,Technical,APU replacement,Aircraft change required,Extended turnaround
DSR00047,FLT00157,Other,Operational disruption,Operational disruption,Accepted minor delay
DSR00048,FLT00161,ATC,Lagos approach congestion,Lagos approach congestion,Held on stand
DSR00049,FLT00163,Technical,Aircraft change required,APU replacement,Engineering hold
DSR00050,FLT00166,Crew,Pilot illness,Cabin crew duty time exceeded,Schedule re-plan
DSR00051,FLT00167,Ground_Handling,Fuel truck delay,Late baggage loading,Extended boarding
DSR00052,FLT00168,Technical,Aircraft change required,Tire change,Extended turnaround
DSR00053,FLT00170,ATC,Lagos approach congestion,Slot delay at CDG,Held on stand
